46 27 | -0.332561 0.480408 0.852152 .
46 28 | -0.31468 0.455574 0.859106 .
46 29 | -0.296799 0.43074 0.86606 .
46 30 | -0.278918 0.405905 0.873013 .
46 31 | -0.261038 0.381071 0.879967 .
46 32 | -0.243157 0.356236 0.886921 .
46 33 | -0.225276 0.331402 0.893874 .
46 34 | -0.207395 0.306567 0.900828 .
46 35 | -0.189514 0.281733 0.907781 .
46 36 | -0.171634 0.256898 0.914735 .
46 37 | -0.153753 0.232064 0.921689 .
46 38 | -0.135872 0.20723 0.928642 .
46 39 | -0.117991 0.182395 0.935596 .
46 40 | -0.10011 0.157561 0.94255 .
46 41 | -0.0822296 0.132726 0.949503 .
46 42 | -0.0643488 0.107892 0.956457 .
46 43 | -0.046468 0.0830574 0.963411 .
46 44 | -0.0285872 0.058223 0.970364 .
46 45 | -0.0107064 0.0333885 0.977318 .
46 46 | 0.00717439 0.00855408 0.984272 x, 0.76 0.00717439 0.00545254 0.00545254, 0.833333 0.00855408 0.0071284 0.0125809, 0.65 0.984272 0.639776 0.652357 0.652357
46 47 | 0.0250552 -0.0162804 0.991225 .
46 48 | 0.042936 -0.0411148 0.998179 .
46 49 | 0.0608168 -0.0659492 1.00513 .
46 50 | 0.0786976 -0.0907837 1.01209 .
46 51 | 0.0965784 -0.115618 1.01904 .
46 52 | 0.114459 -0.140453 1.02599 .
46 53 | 0.13234 -0.165287 1.03295 .
46 54 | 0.150221 -0.190121 1.0399 .
46 55 | 0.168102 -0.214956 1.04685 .
46 56 | 0.185982 -0.23979 1.05381 .
46 57 | 0.203863 -0.264625 1.06076 .
46 58 | 0.221744 -0.289459 1.06772 .
46 59 | 0.239625 -0.314294 1.07467 .
46 60 | 0.257506 -0.339128 1.08162 .
47 16 | -0.52248 0.756531 0.765949 .
47 17 | -0.504599 0.731696 0.772903 .
47 18 | -0.486718 0.706862 0.779857 .
47 19 | -0.468837 0.682027 0.78681 .
47 20 | -0.450957 0.657193 0.793764 .
47 21 | -0.433076 0.632358 0.800717 .
47 22 | -0.415195 0.607524 0.807671 .
47 23 | -0.397314 0.582689 0.814625 .
47 24 | -0.379433 0.557855 0.821578 .
47 25 | -0.361553 0.533021 0.828532 .
47 26 | -0.343672 0.508186 0.835486 .
47 27 | -0.325791 0.483352 0.842439 .
47 28 | -0.30791 0.458517 0.849393 .
